agenda ordre
referred fait
admit admettre
newspaper presse
present actuelle
vote vote
properly correctement
somewhat peu
confused confus
today hui
intervention intervention
everything tout
's de
decision décision
another autre
renew renouveler
occasion occasion
embargo embargo
send envoyer
extremely extrêmement
message message
dangerous dangereux
considering compte
situation situation
these ces
comments remarques
irresponsible irresponsables
said dit
eu ue
vast grande
states États
majority majorité
refuse refuser
volatile volatiles
abc précis
fact fait
happening se
risk risque
18 18
military militaire
november novembre
arms armes
coup coup
producers producteurs
profit au
future avenir
relating en
any toute
expense détriment
: :
amendments amendements
event cas
innocent innocents
proposed proposé
monday lundi
group groupe
tuesday mardi
presently actuellement
among entre
party parti
requests demandes
topical actualité
socialists socialistes
urgent d'
commission commission
statement déclaration
follow suivre
barón barón
usual habitude
procedure procédure
crespo crespo
its son
enough assez
hearing audition
strategic stratégique
speaker orateur
objectives objectifs
favour faveur
against contre
prepare préparer
five cinq
years années
programme programme
speak parole
propose proposer
end fin
administrative administratives
reform réforme
become devenir
familiar bien
remind rappeler
wishes souhaite
explain expliquer
resolution résolution
15 15
our notre
september septembre
according selon
citizens citoyens
recommended recommandé
position position
soon rapidement
applause applaudissements
pse pse
possible possible
respect respect
whatever soit
decide décider
express exprimer
opinion avis
issue question
say dire
proceed passons
agreement accord
reached atteint
distinguished séparément
reinstated votions
annual annuel
still encore
rejected rejette
sitting séance
regarding sur
oral oral
ppe-de ppe-de
capital capitaux
requesting demander
tax taxe
item jour
taken prises
off la
decisions décisions
behalf nom
moves retiré
poettering poettering
hear entendre
wurtz wurtz
speaking parole
lot beaucoup
firstly abord
out de
lack manque
logic logique
164 164
votes votes
166 166
withdrawn retirée
7 7
abstentions abstentions
much beaucoup
advertising publicité
counted comptés
unable pas
" "
electronically électroniquement
add ajouter
two deux
members députés
declared déclare
themselves eux-mêmes
card carte
result résultat
room place
presidency présidence
.... ....
important important
appreciate apprécie
useful utile
did a
happen se
record procès-verbal
call à
close étroite
regret regrette
state État
reopen rouvrir
how comment
business entreprises
perceive paraît
might pourrait
allowed de
asked demandé
let je
give donner
floor parole
leave laisser
explanation explication
their leur
comment remarque
own propre
political politique
analysis analyse
even même
terribly première
motion proposition
sorry regrette
think pense
hänsch hänsch
adopt adopter
workable soutenu
solution solution
cox cox
minutes procès-verbal
entered entré
see voir
asking demande
tomorrow demain
better mieux
than que
proceeding procéder
take prendre
time-consuming courte
account compte
explanations explications
additional supplémentaires
ruling règlement
explained expliqué
acceptable acceptable
clearly clairement
cannot ne
records registre
correctly correctement
pay payer
voted voté
wording formulation
accept accepter
reservations réserves
object objet
reflect reflète
thus ainsi
amended modifiée
advisers conseillers
transport transports
goods marchandises
correct corriger
necessary nécessaire
first première
reading lecture
subsidiarity subsidiarité
greatly du
welcomed saluer
satisfactorily satisfaisante
unanimously unanimité
renovation rénovation
project projet
amendment amendement
lasted duré
cut retire
regional régionale
route voie
between entre
north nord
concerns préoccupations
south sud
europe europe
timetable calendrier
traffic trafic
implementing uvre
directive directive
diverted sur
stretched leurs
patience patience
thousands milliers
urge instamment
support soutien
limit limiter
hell enfer
broke débuté
same même
loose moindre
some certains
municipalities communes
must doit
province province
content contenu
enacting évoluer
law droit
yet encore
greater plus
sector secteur
where où
subsequently ensuite
lament déficit
enforcement application
koch koch
his son
endorse souscris
looks l'
harmonising harmonisation
heart cur
examination examen
requirements exigences
advisors conseillers
working travail
congratulate féliciter
excellent excellent
comes agit
transportation transport
initiatives initiatives
by par
improve améliorer
road route
rail rail
inland intérieures
make faire
waterway envisage
pity dommage
sense sens
concerned concerne
work travail
harmonisation harmonisation
area domaine
rapporteur rapporteur
recent dernières
events événements
exceptionally dossier
minimum minimum
accurate précises
technical technique
proved se
ships navires
furthermore outre
eastern orientale
moor bateliers
adjacent côte
secondly deuxièmement
reasons raisons
over sur
need besoin
obvious évident
risks risques
submitted soumis
short court
entails qui
transpired menée
research recherche
smaller plus
companies entreprises
dispose les
major majeure
ports ports
problems problèmes
cargo cargaison
belgium belgique
enforcing appliquer
mix dosage
finland finlande
other autres
especially surtout
countries pays
japan japon
causes causes
compulsory obligatoire
employ uvre
such de
afford permettre
50 50
% %
containers étant
being de
partially partiellement
1 1
remains reste
january janvier
iso iso
9002 soient
certificates certificats
possibly éventuellement
delivered bien
include inclure
mention évoquer
final final
gives donne
finer d'
shipment cargaison
competitive compétitifs
edge conférera
details détails
interim intérimaire
those ceux
having avoir
importance importance
ever jamais
deal beaucoup
increasing plus
volume volume
meet à
highlighted mis
stringent strictes
passing passant
activities activités
through par
relevant pertinentes
regular régulière
standards normes
basis base
kinds sortes
laid par
rightly titre
down les
known sait
seem semble
feasible faisable
unknown inconnu
finally enfin
form forme
employees travailleurs
reports rapports
95 95
company entreprise
/ /
social sociale
analyses analyses
35 35
environment environnement
ec ce
sufficiently suffisamment
perfectly parfaitement
adequate adéquate
logical logique
second deuxième
fault faute
advise conseillerais
responsible responsable
mentioned a
wholehearted ne
manner manière
organisation organisation
live vivre
action action
cases cas
quickly rapidement
flexibility flexibilité
monitor contrôler
achieve atteindre
carefully avec
towards vers
inadequate insuffisant
rules règles
increased augmenté
country-specific pays
third tiers
rack laquelle
transit transit
country pays
conditions conditions
competition concurrence
plays joue
worse aggrave
particularly particulièrement
role rôle
unilaterally unilatérale
austria autriche
briefly brièvement
keep tenir
various différents
interventions interventions
priorities priorités
simpson abouti
field domaine
process processus
margins marges
never jamais
granted acquis
guarantees garanties
regard ce
day jour
worst pire
accidents accidents
margarine margarine
occurred se
kilos kilos
paint provoqué
transported transportées
led a
genuine véritable
disaster catastrophe
guaranteeing garantir
maximum maximum
degree degré
further plus
consider que
types types
repeat répète
priority priorité
appreciation apprécie
objective objectif
speakers orateurs
closed clos
place lieu
12 12
p.m. à
delays retards
cen cen
annexes annexes
adapted adapté
making de
difficult difficile
apply appliquer
industrial industriels
developments évolution
others autres
amend modifier
94 94
job travail
55 55
affect concernent
procedures procédures
existing existants
exercise exercice
consequently donc
discussion discussion
powers compétences
full plein
conferred conférés
community communautaire
; ;
afresh une
council conseil
obtain obtenir
discussed avons
june juin
addition outre
transparency transparence
realise compte
pointed souligné
relate portent
only ne
colleagues collègues
small petits
step pas
comitology comitologie
millennium millénaire
dates dates
could pourrait
latest tard
concern inquiétude
frost-resistance substances
ratings citernes
tankers pétroliers
carrying procéder
intrinsically intrinsèquement
lapland laponie
frost gèle
rating rating
cold '
lowered soit
climate climat
-40ºc -40º
remember rappeler
prevails aidant
northern nord
regions régions
consideration considération
level niveau
thought que
permission autorisation
superb exceptionnel
contribution contribution
doing fait
essentially essentiellement
nuisance que
begin commencer
most plus
discussing dont
expressing exprimer
large grande
quantities quantités
purely purement
admiration dont
nature nature
itself se
entail implique
way manière
around de
changes changements
both deux
makes fait
executed exécutées
roads routes
after après
proper véritable
railways rail
quick rapide
governing des
changeover douleur
obtaining secteur
sea mer
chairmanship présidence
extraordinarily extraordinaire
prerequisites conditions
internal intérieur
market marché
cause cause
ways moyens
approving approbation
differ différents
conclude conclure
commenting commenter
significance importance
put mettre
namely savoir
parts parties
union union
good bonne
able pouvoir
ari essentiel
vatanen vatanen
establishing d'
reason raison
thing chose
flexible flexible
produced produit
hence où
sound bonne
certainly certainement
every chaque
materials matériaux
packaging emballages
affected les
arrangement système
within au
introduce introduire
united États-unis
nations nations
far-reaching profondes
commissioner commissaire
economic économique
provisions dispositions
stop stop
none ne
borders frontières
expeditiously désastres
goes va
currently actuellement
beyond au-delà
moment moment
she elle
force vigueur
allow permettre
prepared à
incorporate intégrer
inform informer
differentiating différence
spoke parlé
elements éléments
demonstrate '
accepts accepte
lower inférieur
diversity diversité
writing écrit
temperatures températures
contributions contributions
20 20
matters matière
degrees degrés
ours nos
stand en
below en
parliamentary parlementaire
zero zéro
four quatre
stage stade
40 40
negotiations négociations
structural structurels
funds fonds
- -
cohesion cohésion
fund fonds
coordination coordination
part partie
wales pays
contained dans
looking recherche
specifically précisément
status statut
under sous
seen vu
poverty pauvreté
gap fossé
growing plus
rich riches
poor pauvres
widen élargir
alleviate pour
highlight souligner
1997 1997
great grand
dissatisfied mécontents
difficulties difficultés
issues questions
points points
relation qui
figures chiffres
undoubtedly doute
additionality additionnalité
face face
forefront premier
hidden faveur
uk royaume-uni
takes prend
ensures assure
matched '
funding financement
projects projets
transparent transparente
monies soient
spent dépensé
views vue
friend ami
differently différemment
wealth richesse
used utilisés
depend dépendent
means signifie
livelihood économique
fit évolution
view vue
past passé
exclusion exclusion
viewed on
rejection rejet
serious grave
economy économie
needing appelle
constructive constructive
potential potentiel
provider fournisseur
powerful puissants
employment emploi
her son
proposals propositions
offer à
flautre flautre
pillars piliers
drew a
reassure rassurer
strategy stratégie
fields domaines
oversight contrôle
sorely alors
lacking défaut
seeking à
dealt traité
desperately besoin
needed nécessaire
constructively constructive
consequences conséquences
inspire inspirer
infrastructure infrastructure
young jeunes
obstacle obstacle
disappearing acquièrent
establishment établissement
deficiencies déficiences
getting s'
creation création
networks réseaux
jobs emplois
education éducation
infrastructures infrastructures
finding trouver
outside extérieur
rural rural
represent représentent
generally généralement
almost presque
fifths cinquièmes
low bas
territory territoire
agriculture agriculture
unfavourable défavorable
provides prévoit
5.5 5,5
effect effet
seasonal saisonniers
lacks manque
carried réalisé
exacerbates aux
exodus accentuent
medium-sized moyennes
businesses entreprises
above surtout
thanking remercier
distribution distribution
incumbent revenait
upon sur
three trois
quarters quarts
colleague collègue
discredited discréditées
farm agricole
policies politiques
workers travailleurs
part-time partiel
conservative conservatrice
require une
supplements complète
british britannique
government gouvernement
incomes revenus
achieved atteint
regulatory réglementaire
extensive vaste
focus concentrer
suggest suggère
minds entre
essential essentiel
back à
reads comme
identify identifier
regulation règlement
guidelines orientations
skills compétences
operation fonctionnement
round cycle
hi-tech haute
programmes programmes
media médias
instructive chargé
telling dire
rapidly rapidement
losing perd
ground terrain
creating création
layers couches
growth croissance
bureaucracy bureaucratie
industries industries
red rouge
tape bureaucratie
coherence cohérence
implementation mise
directorate direction
inject donner
stated dit
while tout
spirit esprit
respecting respect
entrepreneurial entreprise
specific spécifiques
heard entendu
activity activité
left gauche
local locales
aspects aspects
interpretation interprétation
structurally structurelle
badly mal
behind derrière
weak faible
hopefully espérons
desk cette
officer publique
stands tel
eventually finalement
onto sur
help à
grew se
attracting elles
civil civile
substantial substantielle
service service
investor investisseur
mid-term mi-parcours
confidence confiance
appraisal évaluation
debated débattu
key clé
practical pratique
raised soulevé
emphasises met
success succès
smes pme
involved à
planning planification
responsibility responsabilité
implemented en
often souvent
lasting durable
benefit bénéfice
watered déjà
players acteurs
drafting élaboration
slow lenteur
interesting intéressant
discuss discuter
complicated complexe
processes processus
general générale
supports soutient
obliged obligé
participate participer
directives directives
forget oublier
assessing évaluer
results résultats
main principales
representatives représentants
insufficient insuffisante
condition condition
achieving atteindre
mistaken trompe
using d'
efficiently efficacement
gross brut
domestic intérieure
flexibly flexible
product produit
per par
inhabitant habitant
unemployment chômage
fall la
sole seul
indicator nous
population population
productive productifs
agree accord
study étude
several plusieurs
indicators indicateurs
late tard
enable permettre
act agir
decisively manière
strategically stratégique
current actuelle
opportunity occasion
societies sociétés
dimension dimension
given donné
officials fonctionnaires
least moins
responsibilities responsabilités
evolving pleine
communication communication
bureaucratic bureaucratique
urged s'
attach cela
comprehensive globale
term terme
partnership partenariat
integrated intégrée
strategies stratégies
authorities autorités
revitalising revitaliser
relations relations
national nationaux
towns villes
governments gouvernements
latter dernier
urban urban
renewal renouvellement
build construire
cities villes
alone seule
played joué
strike trouver
1989 1989
numerous nombreuses
development développement
balance équilibre
occasions reprises
1993 1993
1994 1994
promoting promotion
disagreed assez
helped contribué
peripheral périphériques
improving améliorer
lives vie
mainly surtout
city ville
approach approche
competitiveness compétitivité
dwellers citadins
upgrading améliorations
encourage encourager
water eau
treatment traitement
continue continuer
along dans
related des
unfortunately malheureusement
path voie
raising d
nevertheless néanmoins
reiterate rappeler
bernié relevait
thirdly troisièmement
personally personnellement
blame sont
totally totalement
broadly large
commend recommande
islander étant
provided fournies
dissatisfaction insatisfaction
deviate s'
recognition reconnaissance
island île
article article
address aborder
158 158
far jusqu'
paragraph paragraphe
implement mettre
treaty traité
code code
amsterdam amsterdam
islands îles
abreast informé
assume principe
half moitié
subsidies subventions
conduct conduite
establish établir
challenge défi
enlargement élargissement
review révision
2003 2003
interfaces fond
considerable considérables
impact impact
subsidiary subsidiaires
influence influence
budgetary budgétaire
geographical géographiques
terms termes
phase phase
programming programmation
set de
invite invite
natural naturelles
disasters catastrophes
involve ,
each chaque
use utilisation
redistribute réduction
total total
appropriation financière
capable capables
nowadays hui
saying que
accuse accusent
loud vifs
unavailable abonnés
completely totalement
absent absent
response réponse
financial financiers
experts experts
monetary monétaire
though si
tend tendance
going va
criteria critères
reinforces renforce
example exemple
increase augmentation
inequalities inégalités
brake pour
proportion part
shape se
probable probable
scenario scénario
operations opérations
aims vise
extending extension
satisfy satisfaire
entrenchment différenciations
scope champ
needs doit
redistribution redistribution
envisages envisage
disparities disparités
instruments instruments
proposing propose
convergence convergence
living vie
highest plus
unified unifié
denominator comme
forward avant
re-establishes redonne
bound liée
sphere domaine
reluctantly regret
boost augmenter
vague vagues
steps mesures
sustainable durable
protection protection
persuades conduira
systems systèmes
reduction réduction
hours heures
well-intentioned bien
thinking pense
whole ensemble
individually individuellement
sums sommes
mid-way mi-parcours
money argent
optimum optimale
clarity clarté
purpose objectif
whose dont
available disponibles
outcomes résultats
resources ressources
necessarily nécessairement
capacities ses
unclear pas
effective efficace
operability son
terminating terme
change changement
successful fructueuse
method méthode
involvement participation
disbursed fonds
private privé
reality réalité
perspective perspectives
equation équation
levels niveaux
high élevé
meticulous demande
substantive fond
unacceptably taux
piece qu'
regards qui
careful prudents
thought-out élaborées
sensible judicieux
directly directement
life vie
contains contient
agricultural agricole
little peu
observations observations
actual s'
direction direction
outcome résultat
irreparably irrémédiablement
damaged image
becoming en
marked marqué
examine examiner
data données
sixth sixième
periodic périodique
dramatic dramatique
last dernière
decade décennie
witnessed avons
proliferation prolifération
farmers agriculteurs
ease facilitera
problem problème
mass aux
section partie
heading rubrique
rather plutôt
strongly fermement
condemned condamné
aggravates renforce
signs signes
anti l'
grass-roots caractère
things choses
news nouvelles
words mots
central centrale
taking ,
less moins
seriously sérieux
bring à
outermost ultrapériphériques
ambition ambition
applied appliquer
enlighten éclairer
willing à
delay retard
suggestions suggestions
intended à
contrary contraire
steer voient
azores açores
madeira madère
claim y
provide fournir
guidance orientation
long longtemps
awaited manquent
nonetheless cependant
true vrai
reminiscent représentent
extent mesure
catalogue catalogue
measures mesures
10 10
grateful remercie
deliberations réflexions
gdp pib
strengthened renforcée
experiencing on
disregards écarts
standard norme
neither ni
reliable fiables
viable viable
differences différences
opportunities possibilités
putting mettre
utilisation utilisation
read lire
referring référence
seppänen seppänen
based sur
affairs affaires
experience expérience
treat traiter
remote reculées
link lien
belatedly tardivement
memorandums mémorandums
produce produire
greatest plus
thorough approfondie
consultation consultation
economies économies
respond répondre
date date
note note
drawing élaboration
excuse excuse
ladies mesdames
gentlemen collègues
challenges défis
reiterated aux
idea idée
documents documents
quoted cité
text texte
guide guider
context contexte
recommendations recommandations
quotation citer
marks avec
moreover ailleurs
spring printemps
find trouver
opposite contraire
substitute remplacer
methodological méthodologique
confirm confirmer
document document
ex ex
attaches attache
ante ante
assessments évaluations
pointing avoir
tool outil
specify stipulé
ministers ministres
effectiveness efficacité
stressed souligner
tampere tampere
vigilance vigilance
2 2
diversification diversification
society société
zoning zonage
plans plans
france france
paying payons
sweden suède
offered proposés
visit visite
luxembourg luxembourg
storms tempêtes
departments départements
severely ces
disabled handicapées
summarise résumer
presents cadeaux
valuable précieux
conclusions conclusions
commandment mandat
coming prochaines
financing financement
negative négatives
closely près
rapid rapide
periodical laquelle
shows montre
continuing se
uneven inégale
efforts efforts
strongest désapprouve
centres centres
grow croissance
faster plus
notice vois
average moyenne
whereas alors
southern sud
interregional interrégionale
distances distances
developing développement
climates climat
considerably considérablement
slowly lentement
hot l
sparse n
populations populations
global mondiale
austere -
developed développés
discover analyser
in-depth s
remain rester
effects effets
producing produire
desired souhaité
chipped néfaste
away de
uncontrolled incontrôlée
migration migration
develop développer
sufficient suffisamment
connection À
targeted se
weight poids
technology technologie
decisive décisive
know-how savoir-faire
adopting adoptant
employers employeurs
forces forces
attitude attitude
appears semble
berend berend
unjustified injustifié
until jusqu'
line ligne
emphasis accent
placed placés
interpret tire
determined déterminés
seventh septième
significant important
inasmuch génère
supported soutenu
supporting soutenir
brought à
inhabitants habitants
fore scène
concentrating concentrer
else autre
compensate compenser
supply approvisionnement
pursue poursuivre
demand-orientated orientée
envisaged prévues
invest investir
answer réponse
expansion extension
imperative impératif
lesser investissements
simply simplement
hand part
rationalisation rationalisation
varies fonction
enormous énorme
throughout dans
self-supporting autonome
upturn "
chance chance
accompanying accompagnement
anything rien
compliments mes
accomplished satisfera
bear supporter
mind esprit
goal objectif
stimulating captivant
indicated '
strengthen renforcer
investments investissements
endeavouring s
hesitant hésitants
conclusion conclusion
minimal minimale
incentives inciter
reservation réserve
capita habitant
aid aide
called appelé
allowing permettant
observation observation
worthwhile soutenue
tailor-made mesure
knowledge connaissance
sometimes parfois
pronounced on
raises pose
remit compétence
surely certainement
ultimate '
following les
tying apportant
probably probablement
delegating déléguer
meaningful sensé
higher plus
return revenir
boosting réconfort
shifting toute
anyway ailleurs
avoid éviter
whilst si
equally même
later tard
wonder me
decreased diminué
barely n'
employed salariés
fell ont
amount montant
accumulation cumul
reforms réformes
competition-friendly sérieuses
taxation fiscalité
failed pas
cornerstones angulaires
accused accusé
pursuing poursuivre
base base
cost-intensive coûteuse
nothing rien
conceded reconnaître
everyday quotidienne
manage gérer
create créer
drawn en
credibility crédibilité
aided ,
analysed bien
portugal portugal
greece grèce
magnificently remarquable
drove ressemblaient
really vraiment
deserves mérite
chapeau !
rate taux
gesture geste
react réagir
twenty-five vingt-cinq
voting vote
hat on
feet pieds
earn gagnent
costly cher
crust "
schools écoles
moral moral
hospitals hôpitaux
obligation obligation
lies est
encouraging encourager
entrepreneurship esprit
fair juste
mean signifie
born nés
ownership d
times fois
someone personne
modest modeste
background contexte
limited limité
straight suite
hard difficile
easier plus
fruits fruits
hit durement
catastrophic caractère
rates taux
distributed distribué
children enfants
equitably rendre
reunion réunion
37 37
exceptional exceptionnelle
299 d
created de
remoteness éloignement
insularity insularité
practice pratique
personality personnalité
expected on
appeal appel
formally formellement
ready prêts
delayed retards
february février
initial première
defending défendre
traditional traditionnelle
assessment évaluation
fill l
turn à
products produits
optimism optimisme
characterised marquée
daring plus
planned prévu
wrote écrit
technological technologique
urgency urgence
predecessor prédécesseur
wulf-mathies wulf-mathies
provision disposition
spend dépenser
real véritable
human homme
improvement amélioration
comparison par
alert alerte
evaluation évaluation
direct directe
investment investissement
abroad étranger
attentive attentive
ensuring veiller
yourself vous-même
endorsed avait
fruteau faut-il
inequitably inégalement
situations situations
shortage pénurie
recognise reconnaître
everyone chacun
alike pour
fourthly quatrièmement
hedkvist petersen
petersen concerne
promotion promotion
stagnation stagnation
equal equal
recession récession
women femmes
expressed exprimé
fifthly cinquièmement
aparicio aparicio
sánchez sánchez
forcefully avec
sectoral sectorielle
pertains sur
assure assurer
italy italie
competence compétence
effort effort
fischler fischler
cross-border transfrontalière
endeavour efforcer
doubt doute
follows suivante
pre-accession préadhésion
berlin berlin
instrument instrument
assessed lieu
weeks semaines
8.25 20h25
adoption adoption
yesterday hier
join à
11 11
basic base
lesson leçon
invitation invitation
learn apprendre
afternoon après-midi
respectfully du
satisfied satisfaits
completed '
socialist socialiste
set-piece formellement
debates débats
scheduled prévue
groups groupes
lines lignes
unfortunate regrettable
mutual entraide
institution institution
expectations attentes
creates crée
unnecessary inutile
fracture rupture
institutional institutionnelles
relationships relations
month mois
advance avance
dramatised dramatiser
understand comprends
budgets budgets
exercised exercée
commendable louable
self-restraint parus
night nuit
without sans
commented observé
publicly publiquement
wynn wynn
agreed accord
hereby reprend
looked examiné
bourlanges bourlanges
indication indication
drag cesse
wrong tort
ahern ahern
endlessly sans
approved approuvé
joint commune
deep cette
ventilators prierais
engaged d'
modernisation modernisation
viability viabilité
share partage
acceptance acceptation
white blanc
paper livre
bad mauvaise
foundation fondations
competences compétences
chosen choisi
strengthening renforcement
intensifying intensification
intergovernmental intergouvernementale
conference conférence
expect attendons
codecision codécision
exploit tirer
cooperation coopération
pro-active manière
doubtful plus
quo quo
reasonable raisonnable
institutions institutions
due la
ideal idéal
solutions solutions
efficiency efficacité
tenets fondateurs
accord aux
framework cadre
theory théorie
indispensable indispensable
preventing prévention
abuses violations
failing ne
monopolies monopoles
respects égards
serves permet
anyone un
prevent éviter
restrictions restrictions
demand demande
socially socialement
legitimate légitimes
goals objectifs
ideologue idéologue
isolation isolation
forms formes
lion occupent
permissible pensai-je
purposes fins
lead à
unacceptable inacceptable
regardless indépendamment
distortion distorsion
mergers fusions
jonckheer jonckheer
comprehensible compréhensible
enterprises entreprises
educating former
measured mesure
assimilated assimilées
top priorités
list liste
percentage pourcentage
added ajoutée
collate lui
value valeur
analyse analyser
wage '
earner salarié
seven sept
retabled redéposés
plenary plénière
championed battre
longstanding même
considers estime
register registre
accessible accessible
via par
internet internet
involves implique
stressing sur
energy énergie
capacity capacité
27 27
ecsc ceca
expire très
shortly peu
sectors secteurs
steel sidérurgie
industry industrie
argues plaide
ban interdiction
managed '
87 87
irreconcilable fondamentalement
applies vaut
88 88
iron fer
exemptions dérogations
supervise contrôler
largest plus
permitted autorisées
defined définies
warning avertissement
pertaining vis-à-vis
totalling montant
special spécial
eur euros
intentions intentions
540 540
million millions
1996 1996
preussag preussag
germany allemagne
obviously évidemment
watering-down décider
wants veut
underlying sous-jacente
unimpeded course
subsidy subvention
administration administration
waste déchets
succeed y
fully pleinement
expired expiré
disadvantage défavorisées
dragged adopter
enforce appliquer
strict strictes
follow-up suivi
covered sont
undergone nuirait
consolidation consolidation
applicable applicables
compromising effectuer
disturbing évités
impression impression
markets marchés
complete complète
draft projet
expires expire
barriers barrières
promise promesse
impeding continuent
distort fausser
happens se
allocations "
successive successifs
phasing progressif
inconvenience on
required nécessaires
turned soit
supervision contrôle
opened ouvert
phased cesser
newly introduites
replaced par
established établi
structures structures
pushes pression
modernised moderniser
prices prix
organisations organisations
benefits avantages
welfare bien-être
becomes devient
spheres domaines
consumers consommateurs
care soins
price prix
consumer consommateurs
belong doivent
together ensemble
systematic systématique
survey enquête
model modèle
dismantled pouvoir
tested moyen
anchored ancrée
ought doit
radical radicales
nationalisation conséquence
pure pur
simple simple
undermine miner
wrongly tort
exciting un
front face
losses pertes
interfere intervenir
straighten même
misunderstandings malentendus
perhaps peut-être
continuation suite
open ouvert
von von
wogau wogau
rapkay rapkay
accorded "
maiden première
speech intervention
rapporteurs rapporteurs
langen langen
arrived parvenus
system système
onus augmente
containing contenant
individual individuels
world monde
dropping abandon
notify annonce
retrodisplacement retour
marker marqueurs
costs coûts
holds ceci
hold ,
kept ,
dear tient
weaken affaiblir
vital vital
cite citerai
region région
requires exige
marketing marketing
destroyed détruite
power pouvoir
schemes systèmes
minimis minimal
savings épargne
banks banques
compete concurrence
permit autoriser
gütesiegel labels
apart outre
although bien
bank banque
old ancienne
customers clients
home chez
talk parler
accommodated classée
failure échec
radwan cher
thereby ainsi
hears entend
highly très
destructive rejet
german allemand
parliamentary-speak inadmissible
slim slim
right-wing droite
inappropriately "
succeeded réussi
removing supprimer
reference référence
failures échecs
bitter !
fellow collègues
controversy controverses
ultraliberal autant
robert robert
goebbels goebbels
adequately adéquate
supposedly soi-disant
perfect parfait
eliminating élimination
attend être
difference différence
dawn aube
commitment engagement
favours privilégie
immediate immédiate
profits bénéfices
function fonctionner
forum forum
interchange échange
offset comme
detriment détriment
weakest plus
parties partis
restructuring restructuration
training formation
save sauver
operators opérateurs
track bonne
reduce réduire
illegal illégale
overall ensemble
aligned orienter
define définir
hinders entravent
mistake erreur
eliminate éliminer
wide large
web ceux
enabled permis
financed financé
meteoric fulgurant
american américains
army armée
fashion se
holzmann holzmann
criticised critiqué
cern cern
unjustifiable à
constraint contrainte
geneva genève
duisenberg duisenberg
attempted tenté
attribute attribuer
wishing mes
weakness faiblesse
